"","happ1_emot_hap","happ1_emot_sat","happ1_emot_enj","happ1_emot_ala","happ1_emot_sca","happ1_emot_fea","happ1_emot_irr","happ1_emot_agg","happ1_emot_ann","happ1_supp_dif","happ1_supp_con","happ2_emot_hap","happ2_emot_sat","happ2_emot_enj","happ2_emot_ala","happ2_emot_sca","happ2_emot_fea","happ2_emot_irr","happ2_emot_agg","happ2_emot_ann","happ2_supp_dif","happ2_supp_con","angr1_emot_hap","angr1_emot_sat","angr1_emot_enj","angr1_emot_ala","angr1_emot_sca","angr1_emot_fea","angr1_emot_irr","angr1_emot_agg","angr1_emot_ann","angr1_supp_dif","angr1_supp_con","angr2_emot_hap","angr2_emot_sat","angr2_emot_enj","angr2_emot_ala","angr2_emot_sca","angr2_emot_fea","angr2_emot_irr","angr2_emot_agg","angr2_emot_ann","angr2_supp_dif","angr2_supp_con","neut1_emot_hap","neut1_emot_sat","neut1_emot_enj","neut1_emot_ala","neut1_emot_sca","neut1_emot_fea","neut1_emot_irr","neut1_emot_agg","neut1_emot_ann","neut1_supp_dif","neut1_supp_con","neut2_emot_hap","neut2_emot_sat","neut2_emot_enj","neut2_emot_ala","neut2_emot_sca","neut2_emot_fea","neut2_emot_irr","neut2_emot_agg","neut2_emot_ann","neut2_supp_dif","neut2_supp_con","indiv_gend_var","indiv_agee_var","indiv_maia_001","indiv_maia_002","indiv_maia_003","indiv_maia_004","indiv_maia_005","indiv_maia_006","indiv_maia_007","indiv_maia_008","indiv_maia_009","indiv_maia_010","indiv_maia_011","indiv_maia_012","indiv_maia_013","indiv_maia_014","indiv_maia_015","indiv_maia_016","indiv_maia_017","indiv_maia_018","indiv_maia_019","indiv_maia_020","indiv_maia_021","indiv_maia_022","indiv_maia_023","indiv_maia_024","indiv_maia_025","indiv_maia_026","indiv_maia_027","indiv_maia_028","indiv_maia_029","indiv_maia_030","indiv_maia_031","indiv_maia_032","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block1.order","block2.order","exper_note_var","happ1.happy","happ1.anger","angr1.happy","angr1.anger","neut1.happy","neut1.anger","happ2.happy","happ2.anger","angr2.happy","angr2.anger","neut2.happy","neut2.anger"
"17",4,2,3,0,0,0,0,0,0,1,3,4,1,3,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,2,18,4,4,2,4,3,3,3,4,2,5,4,5,5,3,5,2,3,1,1,3,4,4,3,2,5,5,3,2,2,5,5,4,"TKA",117,"neu",4,3,0,0,"Anger1|Neutral1|Happy1","Happy2|Anger2|Neutral2","He couldn't catch GSR deception. He believed facial movements can influence how you feel. He said he read that in his textbook. He's not surprised about our actual interest. ",3,0,0.666666666666667,0,0,0,2.66666666666667,0,0,0.333333333333333,0,0
"18",4,2,4,0,0,0,0,0,0,1,1,3,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,1,2,1,18,4,5,3,4,1,3,4,3,2,5,5,4,4,5,4,4,4,5,5,4,5,5,2,4,4,3,3,2,4,5,5,5,"MAM",118,"neg",1,3,0,0,"Happy1|Neutral1|Anger1","Neutral2|Happy2|Anger2","Debriefing was short - I think participants tend to get confused and lost in the debriefings with all of the terminology. No big insights were gathered. ",3.33333333333333,0,0,0.666666666666667,0.333333333333333,1,2.33333333333333,0,0,1,0,0.333333333333333
"19",1,1,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,3,5,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,4,1,0,1,0,0,0,0,0,0,1,2,1,18,1,1,1,5,5,5,5,4,2,5,1,1,5,4,4,3,4,5,5,5,5,5,1,2,4,1,4,5,4,2,3,4,"JOB",119,"neu",1,1,0,0,"Anger1|Neutral1|Happy1","Happy2|Neutral2|Anger2","Participant completed all trials. Noteworthy, this participant was on Halloween and had full Joker makeup on, with lip makeup ear to ear, and may interfere in reading emotions in software/in general. Pt was aware she posed facial expressions, but felt they had little effect on her emotional experience. Pt was aware she was in control/no demand condition. Pt said she felt a shock during experiment.

I think I put in 1995 as the year.",0.666666666666667,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0
"20",3,3,3,0,0,0,0,0,0,1,4,3,3,3,0,0,0,0,0,0,1,4,4,3,3,0,0,0,0,0,0,1,4,3,3,3,0,0,0,0,0,0,1,4,3,3,3,0,0,0,0,0,0,1,4,3,3,3,0,0,0,0,0,0,1,4,1,19,3,5,5,5,2,2,3,2,2,3,4,3,3,3,4,4,4,3,3,4,4,3,2,3,4,2,3,2,4,4,4,4,"klp",120,"neg",3,2,0,0,"Anger1|Neutral1|Happy1","Anger2|Neutral2|Happy2","didnt think that the gsr readings were authentic ",3,0,3.33333333333333,0,3,0,3,0,3,0,3,0
"21",2,2,2,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,2,1,19,3,3,2,3,2,4,4,3,3,3,3,3,4,4,4,4,3,2,4,3,3,4,2,3,3,3,2,1,1,1,2,3,"TSS",121,"pos",4,3,2,0,"Neutral1|Anger1|Happy1","Neutral2|Anger2|Happy2","Mild confusion over debriefing question #3, but participant still seemed to have understood what we needed her to.",2,0,0,0,0,0,1,0,0,1,0,0
"22",2,2,2,0,0,0,0,0,0,1,4,2,2,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,1,2,4,2,2,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,4,1,18,3,4,4,4,4,3,4,3,3,4,4,2,4,3,2,2,2,3,3,4,4,4,3,3,4,4,2,2,2,4,4,4,"CBV",122,"pos",4,3,0,0,"Neutral1|Anger1|Happy1","Happy2|Neutral2|Anger2","Participant knew what condition she was in and remembered our hypothesis. She said she thought the happy poses influenced her emotions more than the others.",2,0,0,0,2,0,2,0,0,0.666666666666667,0,0
"23",1,1,1,0,0,0,1,0,0,1,6,0,1,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,1,1,2,6,0,0,0,0,0,0,1,1,3,2,6,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,3,1,2,1,18,3,5,2,2,4,4,5,3,3,4,2,3,2,4,2,2,4,5,5,5,5,5,2,3,4,4,4,1,3,3,3,3,"TSS",123,"pos",4,4,0,0,"Anger1|Happy1|Neutral1","Anger2|Neutral2|Happy2","Accidentally left the first page of study open, informing participant they were part of the positive demand group. Fortunately no effect; participant was unaware of demand characteristics and barely even remembered first screen.",1,0.333333333333333,0,1,0,1,0.666666666666667,0,0,1.66666666666667,0,1
"24",0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,2,18,2,3,2,4,3,4,4,2,2,2,3,1,4,4,3,2,3,2,2,4,5,4,4,2,3,1,1,1,1,3,3,4,"klp",124,"pos",0,NA,1,0,"Neutral1|Happy1|Anger1","Anger2|Happy2|Neutral2","MANIPULATION FAILED. claimed to not have been told that we were interested in facial expression effect on emotion.",0,0.333333333333333,0,0.666666666666667,0,0,0,1,0,2,0,0
"25",3,2,3,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,2,0,2,4,5,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,5,1,18,4,4,4,2,5,4,5,4,3,4,2,1,4,4,3,4,2,4,4,5,2,3,4,5,5,5,2,2,4,2,2,2,"klp",125,"neu",1,NA,0,0,"Neutral1|Anger1|Happy1","Happy2|Neutral2|Anger2","N/A",2.66666666666667,0,0.333333333333333,0.333333333333333,0,0,0.666666666666667,0,0,1.33333333333333,0,0.333333333333333
"26",3,4,3,0,0,0,0,0,0,2,5,4,4,4,0,0,0,0,0,0,2,4,0,2,1,0,0,0,0,1,0,3,5,1,0,0,0,0,0,2,2,2,3,5,1,0,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,1,3,1,2,1,19,2,4,2,1,2,2,5,3,4,3,4,4,5,4,4,5,5,1,4,4,4,4,4,3,4,3,2,3,1,3,3,3,"NAC",126,"pos",4,3,0,0,"Neutral1|Happy1|Anger1","Happy2|Anger2|Neutral2","",3.33333333333333,0,1,0.333333333333333,0.666666666666667,0.333333333333333,4,0,0.333333333333333,2,0,2
"27",3,3,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,3,1,18,4,4,3,2,1,1,3,4,3,3,1,1,2,1,1,1,1,4,2,3,4,3,2,3,3,4,1,1,2,5,5,5,"GEO",127,"neu",4,4,1,0,"Happy1|Neutral1|Anger1","Happy2|Anger2|Neutral2","She thought that there was a correlation between emotions and movements because people talk with their hands sometimes to express what they are feeling. She stated that she thought there was a relationship between facial expressions and emotions specifically. She also guessed correctly that she was in the control group. ",2.33333333333333,0,0,0.666666666666667,0,0,1,0,0,0.666666666666667,0,0
"28",2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,19,4,5,2,4,3,3,2,3,4,3,1,3,2,2,5,3,2,4,3,3,3,5,2,2,3,2,2,1,1,3,3,3,"GEO",128,"pos",3,3,0,0,"Neutral1|Anger1|Happy1","Neutral2|Happy2|Anger2","It looked like the GSR electrodes fell off of her hand and she just put them back on. She agreed with our hypothesis and remembered it. She mentioned a homework assignment in Psych 110 where fake data was taken so she knew that the GSR was fake. She said she didn't feel any emotion. ",1.33333333333333,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0
"29",2,1,4,0,0,0,0,0,0,1,6,2,1,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,6,1,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,2,1,18,5,5,5,5,1,4,4,3,5,1,5,5,5,4,5,3,5,3,4,4,5,5,3,3,4,5,3,2,3,5,5,5,"JOB",129,"pos",2,3,3,0,"Happy1|Neutral1|Anger1","Anger2|Happy2|Neutral2","Pt laughed during the happy trial. During the debriefing, participant made the comment that the second time around, she didn't find that as funny, but impacted how she felt. Pt looked to complete anger trial, but seemed to resemble disappointment. Pt face may not be as visible to software d/t screen & light brightness, and is difficult to make out their nose. Pt knew which condition she was in, positive demand. Pt stated she had completed 3 studies prior to this, and said ""Deception is one of the vocabulary words, and our teacher went over how deception is in studies. I figured at least one today would be one to have deception,"" and has knowledge of deception in psychological studies.  Pt assumed to be recorded. Pt stated she had a tic which could have impacted GSR readings. ""I'm like 80% shocked this wasn't about that (GSR)"" Pt reported social/test anxiety and may have influenced her responses.",2.33333333333333,0,0,0.333333333333333,0.666666666666667,0,1.33333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0
"30",0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,1,1,1,18,3,4,2,2,3,2,4,4,4,3,3,4,3,4,4,4,4,3,4,5,2,4,3,4,5,3,5,4,5,5,5,5,"TKA",130,"neg",1,3,0,0,"Neutral1|Happy1|Anger1","Anger2|Neutral2|Happy2","The participant said the hypothesis affected how she was behaving.",0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.666666666666667,0
"31",1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,6,1,18,5,3,3,5,2,2,3,1,2,2,5,5,5,5,3,3,5,5,4,5,5,5,2,3,3,2,2,2,2,5,5,5,"MAM",131,"neg",0,3,1,0,"Happy1|Neutral1|Anger1","Happy2|Anger2|Neutral2","Gave good responses on the facial expressions, although angry face looked more confused. She is suffering from severe allergies - her voice is very hoarse and may be difficult to hear on the recording (I did stop briefly to ask if she was alright). I tried to simplify the intro and emphasize the demand condition to see if this helped with confusion - it seemed to. ",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
